SENTENCE,TYPE,CONDITION,TENSE,LIST,FILLER_TYPE,ITEM
"Я думал, что к нам на вечеринку мало человек пришло, но, глядя на выручку, мне кажется, что вчера на вечеринку пришло минимум 100 человек. ",item,seem,NPST,1,,seem-NPST-1
"Я думал, что к нам на вечеринку мало человек пришло, но, судя по выручке, возможно, что вчера на вечеринку пришло минимум 100 человек. ",item,poss,NPST,2,,poss-NPST-1
"Мне казалось, что вчера на вечеринку пришло примерно 100 человек, но сейчас я знаю, что и 60 не пришло. ",item,seem,PST,3,,seem-PST-1
"Было возможно, что вчера на вечеринку пришло примерно 100 человек, но сейчас я знаю, что и 60 не пришло.",item,poss,PST,4,,poss-PST-1
"Я думал, что кондиционер сломался, но сейчас мне кажется, что проблема в сгоревшей розетке.",item,seem,NPST,2,,seem-NPST-2
"Я думал, что кондиционер сломался, но возможно, что проблема в сгоревшей розетке.",item,poss,NPST,3,,poss-NPST-2
"Мне казалось, что кондиционер сломался, но сейчас мы знаем, что проблема была в сгоревшей розетке.",item,seem,PST,4,,seem-PST-2
"Было возможно, что кондиционер сломался, но сейчас мы знаем, что проблема была в сгоревшей розетке.",item,poss,PST,1,,poss-PST-2
"Я думал, что Васин телефон разрядился, но сейчас мне кажется, что он просто вынул из него симку, чтобы его никто не беспокоил.",item,seem,NPST,3,,seem-NPST-3
"Я думал, что Васин телефон разрядился, но возможно, что он просто вынул из него симку, чтобы его никто не беспокоил.",item,poss,NPST,4,,poss-NPST-3
"Мне казалось, что Васин телефон разрядился, но теперь я знаю, что он просто вынул из него симку, чтобы его никто не беспокоил.",item,seem,PST,1,,seem-PST-3
"Было возможно, что Васин телефон разрядился, но теперь я знаю, что он просто вынул из него симку, чтобы его никто не беспокоил.",item,poss,PST,2,,poss-PST-3
"Я думал, что на дороге гололёд, но сейчас мне кажется, что Женя забыл поменять шины на зимние.",item,seem,NPST,4,,seem-NPST-4
"Я думал, что на дороге гололёд, но возможно, что Женя забыл поменять шины на зимние.",item,poss,NPST,1,,poss-NPST-4
"Мне казалось, что на дороге гололёд, но теперь я знаю, что это Женя забыл поменять шины на зимние.",item,seem,PST,2,,seem-PST-4
"Было возможно, что на дороге гололёд, но теперь я знаю, что это Женя забыл поменять шины на зимние.",item,poss,PST,3,,poss-PST-4
"Я думал, что ночью прошел ливень, но сейчас мне кажется, что на улице выпал снег, а потом растаял.",item,seem,NPST,1,,seem-NPST-5
"Я думал, что ночью прошел ливень, но возможно, что на улице выпал снег, а потом растаял.",item,poss,NPST,2,,poss-NPST-5
"Мне казалось, что ночью прошел ливень, но теперь я знаю, что на улице выпал снег, а потом растаял.",item,seem,PST,3,,seem-PST-5
"Было возможно, что ночью прошел ливень, но теперь я знаю, что на улице выпал снег, а потом растаял.",item,poss,PST,4,,poss-PST-5
"Я думал, что ДТП произошло из-за пешехода, но сейчас мне кажется, что это водитель был неаккуратен.  ",item,seem,NPST,2,,seem-NPST-6
"Я думал, что ДТП произошло из-за пешехода, но возможно, что это водитель был неаккуратен.  ",item,poss,NPST,3,,poss-NPST-6
"Мне казалось, что ДТП произошло из-за пешехода, но теперь известно, что это водитель был неаккуратен. ",item,seem,PST,4,,seem-PST-6
"Было возможно, что ДТП произошло из-за пешехода, но теперь известно, что это водитель был неаккуратен. ",item,poss,PST,1,,poss-PST-6
"Я думал, что Вася чем-то заболел, но сейчас мне кажется, что он всего лишь перепил.",item,seem,NPST,3,,seem-NPST-7
"Я думал, что Вася чем-то заболел, но возможно, что он всего лишь перепил.",item,poss,NPST,4,,poss-NPST-7
"Мне казалось, что Вася чем-то заболел, но теперь я знаю, что он всего лишь перепил.",item,seem,PST,1,,seem-PST-7
"Было возможно, что Вася чем-то заболел, но теперь я знаю, что он всего лишь перепил.",item,poss,PST,2,,poss-PST-7
"Я думал, что Антон специально меня обманул, но сейчас мне кажется, что ему самому наврали.",item,seem,NPST,4,,seem-NPST-8
"Я думал, что Антон специально меня обманул, но возможно, что ему самому наврали.",item,poss,NPST,1,,poss-NPST-8
"Мне казалось, что Антон специально меня обманул, но сейчас я знаю, что ему самому наврали.",item,seem,PST,2,,seem-PST-8
"Было возможно, что Антон специально меня обманул, но сейчас я знаю, что ему самому наврали.",item,poss,PST,3,,poss-PST-8
"Я думал, что будет солнечно, и погода действительно замечательная.",filler,,,1,good,filler-good-1
"Я думал, что будет солнечно, и сейчас действительно идёт ливень.",filler,,,2,bad,filler-bad-1
"Я думал, что Вася вегетарианец, и он действительно вообще не ест мясо.",filler,,,2,good,filler-good-2
"Я думал, что Вася вегетарианец, и он действительно каждый день ест по стейку.",filler,,,1,bad,filler-bad-2
"Я думал, что забыл кошелек дома, и, действительно, он лежал на столе у меня в комнате.",filler,,,1,good,filler-good-3
"Я думал, что забыл кошелек дома, и, действительно, он был со мной в моём рюкзаке.",filler,,,2,bad,filler-bad-3
"Я думал, что Маша на кухне, и она действительно раскатывала тесто для пельменей. ",filler,,,2,good,filler-good-4
"Я думал, что Маша на кухне, и она действительно мылась в ванной.",filler,,,1,bad,filler-bad-4
"Я думал, что по комнате летает комар, и я действительно проснулся весь искусанный.",filler,,,1,good,filler-good-5
"Я думал, что по комнате летает комар, и, действительно, это была муха.",filler,,,2,bad,filler-bad-5
"Я думал, что посылка придёт уже в следующем месяце, и она действительно ещё не пришла.",filler,,,2,good,filler-good-6
"Я думал, что посылка придёт уже в следующем месяце, и она действительно уже в почтовом отделении.",filler,,,1,bad,filler-bad-6
"Я думал, что у Пети два ребенка, и у него действительно девочки-близняшки.",filler,,,1,good,filler-good-7
"Я думал, что у Пети два ребенка, и у него действительно один мальчик-хулиган.",filler,,,2,bad,filler-bad-7
"Я думал, что Джон из Америки, и он действительно родился в Нью-Йорке.",filler,,,2,good,filler-good-8
"Я думал, что Джон из Америки, и он действительно родился в Саратове.",filler,,,1,bad,filler-bad-8
"Я думал, что будет солнечно, и погода действительно замечательная.",filler,,,3,good,filler-good-1
"Я думал, что будет солнечно, и сейчас действительно идёт ливень.",filler,,,4,bad,filler-bad-1
"Я думал, что Вася вегетарианец, и он действительно вообще не ест мясо.",filler,,,4,good,filler-good-2
"Я думал, что Вася вегетарианец, и он действительно каждый день ест по стейку.",filler,,,3,bad,filler-bad-2
"Я думал, что забыл кошелек дома, и, действительно, он лежал на столе у меня в комнате.",filler,,,3,good,filler-good-3
"Я думал, что забыл кошелек дома, и, действительно, он был со мной в моём рюкзаке.",filler,,,4,bad,filler-bad-3
"Я думал, что Маша на кухне, и она действительно раскатывала тесто для пельменей. ",filler,,,4,good,filler-good-4
"Я думал, что Маша на кухне, и она действительно мылась в ванной.",filler,,,3,bad,filler-bad-4
"Я думал, что по комнате летает комар, и я действительно проснулся весь искусанный.",filler,,,3,good,filler-good-5
"Я думал, что по комнате летает комар, и, действительно, это была муха.",filler,,,4,bad,filler-bad-5
"Я думал, что посылка придёт уже в следующем месяце, и она действительно ещё не пришла.",filler,,,4,good,filler-good-6
"Я думал, что посылка придёт уже в следующем месяце, и она действительно уже в почтовом отделении.",filler,,,3,bad,filler-bad-6
"Я думал, что у Пети два ребенка, и у него действительно девочки-близняшки.",filler,,,3,good,filler-good-7
"Я думал, что у Пети два ребенка, и у него действительно один мальчик-хулиган.",filler,,,4,bad,filler-bad-7
"Я думал, что Джон из Америки, и он действительно родился в Нью-Йорке.",filler,,,4,good,filler-good-8
